symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHSE.000852,1d,5264.646,5289.01,5254.622,5285.229,8824697088,83811876864.0,5273.814,0,2019-07-16 00:00:00+08:00,2019-07-16 00:00:00+08:00
SHSE.000300,1d,3819.247,3828.325,3799.866,3806.844,8073095168,108449681408.0,3824.187,0,2019-07-16 00:00:00+08:00,2019-07-16 00:00:00+08:00
SHSE.000985,1d,4222.62,4234.456,4211.281,4222.117,32370335567,334136649112.0,4228.492,0,2019-07-16 00:00:00+08:00,2019-07-16 00:00:00+08:00
SZSE.399303,1d,5925.581,5950.416,5914.26,5950.265,13170414336,120523886592.0,5934.013,0,2019-07-16 00:00:00+08:00,2019-07-16 00:00:00+08:00
SHSE.000905,1d,4917.793,4940.231,4909.663,4932.045,6892496128,60958972160.0,4925.324,0,2019-07-16 00:00:00+08:00,2019-07-16 00:00:00+08:00
SHSE.000852,1d,5282.562,5312.706,5269.244,5289.424,9870641664,91936571392.0,5285.229,0,2019-07-17 00:00:00+08:00,2019-07-17 00:00:00+08:00
SHSE.000300,1d,3800.106,3820.271,3787.897,3804.638,9518388500,116766781138.0,3806.845,0,2019-07-17 00:00:00+08:00,2019-07-17 00:00:00+08:00
SHSE.000905,1d,4930.646,4953.409,4914.492,4929.085,7536108800,65860765184.0,4932.045,0,2019-07-17 00:00:00+08:00,2019-07-17 00:00:00+08:00
SZSE.399303,1d,5942.702,5977.216,5928.123,5955.024,14263884032,129997295616.0,5950.265,0,2019-07-17 00:00:00+08:00,2019-07-17 00:00:00+08:00
SHSE.000985,1d,4216.507,4238.198,4204.625,4221.56,36324346984,360504396437.0,4222.117,0,2019-07-17 00:00:00+08:00,2019-07-17 00:00:00+08:00
SHSE.000852,1d,5265.366,5265.366,5194.601,5194.601,9655468032,87163904000.0,5289.424,0,2019-07-18 00:00:00+08:00,2019-07-18 00:00:00+08:00
SHSE.000985,1d,4205.927,4205.927,4165.074,4165.074,34970745386,343277604485.0,4221.56,0,2019-07-18 00:00:00+08:00,2019-07-18 00:00:00+08:00
SHSE.000300,1d,3793.189,3793.392,3767.996,3768.402,8749644500,111669365488.0,3804.638,0,2019-07-18 00:00:00+08:00,2019-07-18 00:00:00+08:00
SZSE.399303,1d,5926.328,5926.328,5845.413,5845.413,14376101120,127004368896.0,5955.024,0,2019-07-18 00:00:00+08:00,2019-07-18 00:00:00+08:00
SHSE.000905,1d,4909.717,4909.717,4843.513,4844.108,7263615744,59848894464.0,4929.085,0,2019-07-18 00:00:00+08:00,2019-07-18 00:00:00+08:00
SHSE.000985,1d,4181.367,4227.393,4181.367,4199.316,32859881397,333199415808.0,4165.074,0,2019-07-19 00:00:00+08:00,2019-07-19 00:00:00+08:00
